"start","end","General_Information:Type_of_setlement","General_Information:Type_of_Host_Community","General_Information:Record_your_current_location:Latitude","General_Information:Record_your_current_location:Longitude","General_Information:Record_your_current_location:Altitude","General_Information:Record_your_current_location:Accuracy","General_Information:Type_of_service","General_Information:Other_service","General_Information:Name","General_Information:Sharing_Services","Grain_Mill_Details:Available","Grain_Mill_Details:Type","Grain_Mill_Details:Engine","Grain_Mill_Details:Adecuate_Construction","Cementary_Details:Drainage","Cementary_Details:Height","Education_level","education_details:Student","education_details:Workers","education_details:Teachers","education_details:Materials","education_details:Subjects","education_details:Subjects_001","education_details:Subject_needed","education_details:Start_001","education_details:Finish","Health_Center","Health_Center_details:Capacity","Associate_infrastructure:Sanitation","Associate_infrastructure:Important_Note","Associate_infrastructure:Water","Associate_infrastructure:Important_Note_001","Associate_infrastructure:Energy","Energy_Details:Energy_Source","Energy_Details:Type_of_water_supply","Energy_Details:Generator_Type","Energy_Details:Electrical_Details","Energy_Details:Electrical_Appliances:Devices","Energy_Details:Electrical_Appliances:Lantern_details:Amount","Energy_Details:Electrical_Appliances:Lantern_details:Power","Energy_Details:Electrical_Appliances:Lamp:Amount_001","Energy_Details:Electrical_Appliances:Lamp:Power_001","Energy_Details:Electrical_Appliances:Radio:Amount_002","Energy_Details:Electrical_Appliances:Radio:Power_002","Energy_Details:Electrical_Appliances:TV_or_DVD:Amount_003","Energy_Details:Electrical_Appliances:TV_or_DVD:Power_003","Energy_Details:Electrical_Appliances:PC_or_Tablet:Amount_004","Energy_Details:Electrical_Appliances:PC_or_Tablet:Power_004","Energy_Details:Electrical_Appliances:Mobile_Details:Amount_005","Energy_Details:Electrical_Appliances:Mobile_Details:Power_005","Energy_Details:Electrical_Appliances:Electronic_Cooker:Amount_006","Energy_Details:Electrical_Appliances:Electronic_Cooker:Power_006","Energy_Details:Electrical_Appliances:Fridge_Details:Amount_007","Energy_Details:Electrical_Appliances:Fridge_Details:Power_007","Energy_Details:Electrical_Appliances:Other_Details:Amount_008","Energy_Details:Electrical_Appliances:Other_Details:Power_008","Construction_Details:Appropiate_Roof","Construction_Details:Structural_Security","Construction_Details:Resilient","Construction_Details:Thermal_Confort","meta:instanceID"
"2019-11-18 10:45:24.364","2019-11-18 18:46:50.261","refugee_camp",,,,,,"educational_center",,"Anda Mohamed","Refugees",,,,,,,"secundary","985","16","33","books__noteboo_2","mathematic natural_scienc social_science geography physic language chemistry art sport computer_scien","","Música","08:00:00","13:45:00",,,"yes",,"yes",,"yes","electrical_gri","no",,"yes","lamp pc_or_tablet other",,,"64","50",,,,,"20","350",,,,,,,"4","2000","yes","yes","no","yes","uuid:63fdce5a-8df6-4980-8c42-f02a00350a87"
"2019-11-17 21:48:18.876","2019-11-18 18:52:07.268","refugee_camp",,,,,,"educational_center",,"Ali Mabrik Buzia","Refugees",,,,,,,"nursery","338","4","15","notebook_and_p","","",,"08:00:00","12:00:00",,,"yes",,"yes",,"yes","electrical_gri","no",,"yes","lamp",,,"16","50",,,,,,,,,,,,,,,"yes","yes","no","yes","uuid:dd6626d6-4f00-4971-b8d1-060cd8bf78e2"
"2019-11-18 09:47:21.552","2019-11-18 23:35:32.996","refugee_camp",,,,,,"educational_center",,"Bala Ahmed zein","Refugees",,,,,,,"primary","715","15","22","books__noteboo","mathematic language natural_scienc social_science geography physic chemistry sport art","","Música","07:00:00","12:15:00",,,"yes",,"no",,"yes","electrical_gri","no",,"yes","lamp tv_or_dvd fridge",,,"40","50",,,"1","50",,,,,,,"1","885",,,"yes","yes","no","yes","uuid:ae16ddfc-fef4-4677-8a6e-555a17e4c50c"
"2019-11-20 09:57:31.904","2019-11-20 14:32:12.877","refugee_camp",,"27.4969495108","-7.8231217191","462.6934796683","8.0000000000","health_center",,"Dispensario de Mahbes","Refugees",,,,,,,,,,,,"","",,,,"primary_care",,"yes",,"yes",,"yes","electrical_gri","no",,"yes","lamp fridge other",,,"15","50",,,,,,,,,,,"1","300","2","1240","yes","yes","yes","yes","uuid:9ec0aa2f-5486-498d-bb72-0043d7a42e41"
"2019-11-20 10:41:33.967","2019-11-20 10:43:05.543","refugee_camp",,"27.4940648075","-7.8241265901","459.4795001748","6.0000000000","urban_market",,,"Refugees",,,,,,,,,,,,"","",,,,,,,,,,,,,,"no","",,,,,,,,,,,,,,,,,,,,,,,"uuid:7adefdb4-baa9-4107-bfe3-07f265a5b900"
"2019-11-21 10:39:07.743","2019-11-22 23:20:16.565","refugee_camp",,,,,,"sport_center",,"Lucas","Refugees",,,,,,,,,,,,"","",,,,,,,,,,,,,,"yes","lamp mobile",,,"15","50",,,,,,,"1","250",,,,,,,,,,,"uuid:bb0a63da-18e7-44de-b990-1a266d724083"
"2019-11-21 10:48:35.228","2019-11-22 23:41:42.484","refugee_camp",,,,,,"educational_center",,"Taller público de carpintería, panadería y metalurgia","Refugees",,,,,,,"vocational_tra","20","7","1",,"","construction",,"07:00:00","13:00:00",,,"yes",,"yes",,"yes","electrical_gri","no",,"yes","other lamp mobile",,,"50","50",,,,,,,"8","250",,,,,"19",,"yes","yes","no","yes","uuid:13a26f4a-5f86-4c28-a78f-b50118b41616"
"2019-11-21 11:32:22.368","2019-11-22 23:48:31.446","refugee_camp",,,,,,"social_center",,"Castro","Refugees",,,,,,,,,,,,"","",,,,,,,,,,,,,,"yes","lamp fridge",,,"20","50",,,,,,,,,,,"1","1411",,,,,,,"uuid:ecde879f-bdb4-48c7-bd0b-d50d44a3ef63"
"2019-11-21 11:07:19.934","2019-11-22 23:51:48.559","refugee_camp",,"27.4892331723","-7.8294352113","455.4679128188","8.0000000000","educational_center",,"17 de junio","Refugees",,,,,,,"secundary","1200","12","38","books__noteboo_3","mathematic natural_scienc social_science geography physic chemistry language art sport computer_scien","",,"07:00:00","13:00:00",,,"yes",,"yes",,"yes","electrical_gri","no",,"yes","lamp pc_or_tablet other",,,"110","50",,,,,"11","300",,,,,,,"2","900","yes","yes","yes","yes","uuid:fb8d483f-39a9-4b13-83a0-6799e659bccc"
"2019-11-10 12:54:24.711","2019-11-10 13:25:34.546","refugee_camp",,"27.4606598200","-8.1741170100","441.7377929688","4.2880000000","other",,"Matadero desuso (en Nhaila)","Refugees",,,,,,,,,,,,"","",,,,,,,,,,,,,,"yes","lamp fridge other",,,"2","25",,,,,,,,,,,"1","11500","4","2100",,,,,"uuid:57009267-ef1a-4ed7-a90e-82236f897f5e"
